# Interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
14.310	2.872352e-01	2.938103e-01	6.188614e-07	1.576957e-03
14.320	2.919262e-01	2.714382e-01	6.310237e-07	1.622999e-03
14.330	2.965111e-01	2.751673e-01	6.435059e-07	1.670561e-03
14.340	2.930688e-01	2.704709e-01	6.564382e-07	1.719750e-03
14.350	2.973952e-01	2.741938e-01	6.697708e-07	1.770082e-03
14.360	2.825072e-01	2.776720e-01	6.835638e-07	1.821682e-03
14.370	2.869542e-01	2.566189e-01	6.979198e-07	1.875279e-03
14.380	2.847318e-01	2.600873e-01	7.127434e-07	1.930458e-03
14.390	2.889437e-01	2.535868e-01	7.281028e-07	1.987322e-03
14.400	2.732846e-01	2.570426e-01	7.439271e-07	2.045392e-03
14.410	2.775104e-01	2.602440e-01	7.604792e-07	2.105025e-03
14.420	2.816321e-01	2.404828e-01	7.775577e-07	2.166433e-03
14.430	2.774242e-01	2.437447e-01	7.953019e-07	2.229736e-03
14.440	2.812846e-01	2.395130e-01	8.136526e-07	2.294491e-03
14.450	2.653483e-01	2.426785e-01	8.326809e-07	2.360652e-03
14.460	2.693321e-01	2.239994e-01	8.524985e-07	2.427733e-03
14.470	2.665391e-01	2.270157e-01	8.730386e-07	2.497483e-03
14.480	2.702945e-01	2.300269e-01	8.943557e-07	2.569241e-03
14.490	2.540893e-01	2.242039e-01	9.163920e-07	2.641142e-03
14.500	2.578543e-01	2.271273e-01	9.393883e-07	2.715625e-03
14.510	2.615210e-01	2.095373e-01	9.631890e-07	2.785423e-03
14.520	2.568603e-01	2.123722e-01	9.879358e-07	2.863752e-03
14.530	2.602744e-01	2.151633e-01	1.013563e-06	2.943823e-03
14.540	2.442113e-01	2.113977e-01	1.040139e-06	3.021964e-03
14.550	2.477465e-01	2.140323e-01	1.067790e-06	3.104968e-03
14.560	2.446770e-01	1.975552e-01	1.096452e-06	3.173846e-03
14.570	2.479969e-01	2.001767e-01	1.126207e-06	3.260882e-03
14.580	2.320235e-01	1.950243e-01	1.157004e-06	3.340083e-03
14.590	2.353476e-01	1.975893e-01	1.189005e-06	3.430373e-03
14.600	2.385813e-01	1.999764e-01	1.222139e-06	3.521784e-03
14.610	2.338853e-01	1.845666e-01	1.256531e-06	3.586270e-03
14.620	2.368803e-01	1.870160e-01	1.292131e-06	3.682288e-03
14.630	2.213294e-01	1.836765e-01	1.328975e-06	3.767732e-03
14.640	2.244419e-01	1.860154e-01	1.367240e-06	3.866526e-03
14.650	2.213076e-01	1.881494e-01	1.406757e-06	3.966496e-03
14.660	2.242217e-01	1.737258e-01	1.447751e-06	4.023986e-03
14.670	2.090015e-01	1.759610e-01	1.490038e-06	4.128540e-03
14.680	2.119169e-01	1.713665e-01	1.533875e-06	4.212256e-03
14.690	2.147503e-01	1.734984e-01	1.579183e-06	4.319850e-03
14.700	2.101272e-01	1.599134e-01	1.625965e-06	4.365544e-03
14.710	2.127409e-01	1.620477e-01	1.674370e-06	4.477964e-03
14.720	1.981150e-01	1.641037e-01	1.723919e-06	4.591563e-03
14.730	2.008393e-01	1.610998e-01	1.775674e-06	4.682140e-03
14.740	1.977843e-01	1.629970e-01	1.828583e-06	4.798312e-03
14.750	2.003285e-01	1.503111e-01	1.883599e-06	4.833334e-03
14.760	1.861758e-01	1.522502e-01	1.939043e-06	4.954270e-03
14.770	1.887184e-01	1.482461e-01	1.997465e-06	5.037964e-03
14.780	1.911870e-01	1.501306e-01	2.057645e-06	5.162296e-03
14.790	1.868687e-01	1.518355e-01	2.118812e-06	5.286992e-03
14.800	1.891366e-01	1.400304e-01	2.182573e-06	5.310613e-03
14.810	1.756666e-01	1.418110e-01	2.245192e-06	5.440611e-03
14.820	1.780377e-01	1.391674e-01	2.312994e-06	5.533463e-03
14.830	1.751527e-01	1.408387e-01	2.380719e-06	5.666287e-03
14.840	1.773632e-01	1.297279e-01	2.452114e-06	5.673070e-03
14.850	1.644418e-01	1.314034e-01	2.519268e-06	5.810657e-03
14.860	1.666495e-01	1.330446e-01	2.594548e-06	5.950659e-03
14.870	1.687912e-01	1.294751e-01	2.671790e-06	6.032476e-03
14.880	1.647651e-01	1.309646e-01	2.747531e-06	6.173573e-03
14.890	1.667267e-01	1.206440e-01	2.828600e-06	6.167131e-03
14.900	1.545191e-01	1.221832e-01	2.900738e-06	6.313976e-03
14.910	1.565724e-01	1.198656e-01	2.986502e-06	6.407916e-03
14.920	1.539110e-01	1.213272e-01	3.068679e-06	6.557772e-03
14.930	1.558245e-01	1.116347e-01	3.158137e-06	6.532541e-03
14.940	1.441903e-01	1.130730e-01	3.231176e-06	6.686861e-03
14.950	1.460991e-01	1.144831e-01	3.324868e-06	6.843723e-03
14.960	1.479495e-01	1.113872e-01	3.420621e-06	6.921988e-03
14.970	1.443312e-01	1.126846e-01	3.508906e-06	7.079867e-03
14.980	1.460213e-01	1.036960e-01	3.608420e-06	7.040245e-03
14.990	1.350912e-01	1.050205e-01	3.682138e-06	7.204085e-03
15.000	1.368624e-01	1.029960e-01	3.786964e-06	7.298305e-03
15.010	1.344471e-01	1.042662e-01	3.881280e-06	7.465442e-03
15.020	1.360979e-01	1.054178e-01	3.989659e-06	7.631744e-03
15.030	1.257356e-01	9.706822e-02	4.058787e-06	7.576638e-03
15.040	1.273809e-01	9.827466e-02	4.171639e-06	7.750202e-03
15.050	1.289749e-01	9.555531e-02	4.286542e-06	7.823396e-03
15.060	1.256965e-01	9.668068e-02	4.383143e-06	7.998414e-03
15.070	1.271524e-01	8.888193e-02	4.501494e-06	7.923616e-03
15.080	1.174612e-01	9.001833e-02	4.565671e-06	8.104615e-03
15.090	1.189848e-01	9.111284e-02	4.689881e-06	8.286865e-03
15.100	1.168206e-01	8.934753e-02	4.792616e-06	8.382876e-03
15.110	1.182407e-01	9.033463e-02	4.920027e-06	8.565723e-03
15.120	1.195826e-01	8.310167e-02	5.049230e-06	8.474935e-03
15.130	1.105035e-01	8.413084e-02	5.105175e-06	8.665262e-03
15.140	1.118724e-01	8.179471e-02	5.239108e-06	8.734103e-03
15.150	1.089884e-01	8.276547e-02	5.339051e-06	8.926412e-03
15.160	1.102383e-01	7.602155e-02	5.475869e-06	8.815010e-03
15.170	1.017102e-01	7.699281e-02	5.518111e-06	9.013211e-03
15.180	1.030168e-01	7.792724e-02	5.661284e-06	9.212624e-03
15.190	1.010961e-01	7.638986e-02	5.768009e-06	9.307454e-03
15.200	1.023145e-01	7.723992e-02	5.913878e-06	9.507315e-03
15.210	1.034627e-01	7.099724e-02	6.061153e-06	9.379946e-03
15.220	9.550095e-02	7.187332e-02	6.089289e-06	9.587111e-03
15.230	9.667387e-02	6.983501e-02	6.241534e-06	9.649614e-03
15.240	9.410777e-02	7.066942e-02	6.338859e-06	9.859379e-03
15.250	9.517928e-02	7.144275e-02	6.493290e-06	1.006823e-02
15.260	8.772221e-02	6.568563e-02	6.501990e-06	9.926052e-03
15.270	8.884040e-02	6.648141e-02	6.663199e-06	1.014271e-02
15.280	8.714918e-02	6.514803e-02	6.769559e-06	1.023611e-02
15.290	8.819235e-02	6.587661e-02	6.932862e-06	1.045302e-02
15.300	8.917255e-02	6.050563e-02	7.097032e-06	1.028839e-02
15.310	8.222954e-02	6.124949e-02	7.086661e-06	1.051241e-02
15.320	8.323197e-02	5.950953e-02	7.256034e-06	1.057023e-02
15.330	8.100637e-02	6.022343e-02	7.346521e-06	1.079744e-02
15.340	8.192222e-02	6.087768e-02	7.517257e-06	1.102257e-02
15.350	7.543426e-02	5.593072e-02	7.482849e-06	1.084303e-02
15.360	7.638876e-02	5.660888e-02	7.660739e-06	1.107720e-02
15.370	7.490874e-02	5.545657e-02	7.762892e-06	1.116896e-02
15.380	7.579984e-02	5.607874e-02	7.942238e-06	1.140295e-02
15.390	7.663504e-02	5.147077e-02	8.121839e-06	1.120048e-02
15.400	7.060904e-02	5.210155e-02	8.064857e-06	1.144149e-02
15.410	7.146428e-02	5.059249e-02	8.249921e-06	1.149223e-02
15.420	6.950696e-02	5.120181e-02	8.328526e-06	1.173702e-02
15.430	7.028898e-02	5.175490e-02	8.514138e-06	1.197852e-02
15.440	6.466915e-02	4.751564e-02	8.429998e-06	1.176116e-02
15.450	6.548262e-02	4.809292e-02	8.623051e-06	1.201302e-02
15.460	6.419425e-02	4.710056e-02	8.718046e-06	1.210305e-02
15.470	6.495416e-02	4.763040e-02	8.911920e-06	1.235420e-02
15.480	6.566442e-02	4.368704e-02	9.105341e-06	1.211335e-02
15.490	6.045480e-02	4.422115e-02	8.996566e-06	1.237150e-02
15.500	6.118286e-02	4.473701e-02	9.195706e-06	1.263037e-02
15.510	5.950119e-02	4.345823e-02	9.260995e-06	1.267982e-02
15.520	6.016717e-02	4.392464e-02	9.459873e-06	1.293768e-02
15.530	5.531651e-02	4.030083e-02	9.322216e-06	1.268210e-02
15.540	5.600825e-02	4.079028e-02	9.528753e-06	1.295147e-02
15.550	5.489144e-02	3.993884e-02	9.614505e-06	1.303983e-02
15.560	5.553823e-02	4.038879e-02	9.821273e-06	1.330813e-02
15.570	5.614127e-02	3.702264e-02	1.002688e-05	1.302866e-02
15.580	5.165291e-02	3.747421e-02	9.864025e-06	1.330402e-02
15.590	5.227183e-02	3.791029e-02	1.007564e-05	1.358004e-02
15.600	5.080513e-02	3.680905e-02	1.012422e-05	1.362241e-02
15.610	5.137187e-02	3.720217e-02	1.033484e-05	1.389665e-02
15.620	4.719889e-02	3.411231e-02	1.014270e-05	1.360274e-02
15.630	4.778638e-02	3.452557e-02	1.036112e-05	1.388929e-02
15.640	4.682197e-02	3.379810e-02	1.043647e-05	1.397635e-02
15.650	4.737168e-02	3.417939e-02	1.065459e-05	1.426187e-02
15.660	4.788283e-02	3.131254e-02	1.087079e-05	1.394359e-02
15.670	4.402717e-02	3.169356e-02	1.065396e-05	1.423612e-02
15.680	4.455229e-02	3.206146e-02	1.087644e-05	1.452927e-02
15.690	4.330088e-02	3.113164e-02	1.090978e-05	1.456735e-02
15.700	4.378201e-02	3.146299e-02	1.113056e-05	1.485811e-02
15.710	4.020157e-02	2.883396e-02	1.088499e-05	1.452561e-02
15.720	4.069951e-02	2.918222e-02	1.111369e-05	1.482930e-02
